trial,rev_1,rev_5,rev_10,rev_20,rev_30,rev_40,rev_50,sup_1,sup_2,sup_3,sup_4,sup_5,sup_6,sup_7,sup_8,sup_9,sup_10
1,2.1737,10.6807,21.0602,41.4393,61.5944,81.6602,101.6868,1.0000,4.8527,9.1438,15.0805,20.8269,22.0037,26.5080,28.5425,28.9546,1000000.0000
2,2.1823,10.6922,21.0185,41.2803,61.3968,81.4599,101.4896,1.0000,4.7585,4.8151,7.0864,9.4066,19.4592,28.6493,31.2276,31.5056,1000000.0000
3,2.2421,10.7396,21.0920,41.4596,61.6267,81.7080,101.7481,1.0000,2.4336,8.1178,8.4413,15.2546,23.4808,26.1340,26.4332,32.5896,1000000.0000
4,2.1821,10.6937,21.0633,41.3935,61.5056,81.5466,101.5617,1.0000,4.1758,8.8024,9.5839,14.9744,15.1031,19.7951,33.2016,33.9864,1000000.0000
5,2.2477,10.8214,21.1684,41.4387,61.5258,81.5574,101.5700,1.0000,2.2100,6.4916,8.8914,9.0118,14.1362,20.4609,33.9383,34.9312,1000000.0000
6,2.2032,10.6443,20.9548,41.3316,61.5264,81.6281,101.6784,1.0000,3.5247,8.4083,25.4322,27.5653,29.6550,29.8950,30.6344,34.9143,1000000.0000
7,2.2471,10.8034,21.1479,41.4427,61.5549,81.6043,101.6277,1.0000,2.2417,5.6359,9.9128,9.9466,10.1847,16.5547,25.3915,28.5088,1000000.0000
8,2.2390,10.0000,21.1078,41.3961,61.5188,81.5738,101.5985,1.0000,1.6294,5.8648,6.2286,6.9500,20.3508,23.4228,28.1480,33.5417,1000000.0000
9,2.1198,10.4978,20.8149,41.1538,61.3187,81.3880,101.4095,1.0000,7.1835,8.2471,9.0192,19.9226,20.6190,24.0440,24.6508,30.5451,1000000.0000
10,2.1798,10.6636,21.0100,41.3794,61.5582,81.6402,101.6783,1.0000,4.2557,8.9880,20.4637,21.9226,26.4159,27.4249,29.6084,30.5445,1000000.0000
11,2.2259,10.6723,21.0164,41.3712,61.5209,81.5850,101.6134,1.0000,1.1057,1.5263,6.3184,14.4539,21.8656,24.0038,24.7430,26.4578,1000000.0000
12,2.2604,10.8487,21.1371,41.3228,61.3971,81.4409,101.4682,1.0000,1.8232,2.0425,5.1627,8.1086,9.2667,29.2461,30.3889,33.0064,1000000.0000
