trial,rev_100,rev_125,rev_150,rev_175,rev_200,sup_1,sup_2,sup_3,sup_4,sup_5,sup_6,sup_7,sup_8,sup_9,sup_10
1,201.1736,251.2584,301.3126,351.3473,401.3296,1.0000,41.4632,55.8107,66.5099,80.5984,84.4996,88.3473,101.5256,112.9631,1000000.0000
2,201.8877,251.9887,302.0505,352.0901,402.0761,1.0000,5.5063,35.1985,66.1525,89.5193,93.2638,104.0258,111.5475,116.5094,1000000.0000
3,200.9505,251.0092,301.0380,351.0874,401.0846,1.0000,51.6065,61.9537,66.1379,71.7060,93.8490,99.3768,109.8822,110.9264,1000000.0000
4,201.6837,251.7639,301.8048,351.8286,401.8425,1.0000,9.3141,50.9328,57.3049,58.7079,88.1839,94.2490,110.2256,122.4596,1000000.0000
5,201.8739,251.9315,301.9637,351.9822,401.9927,1.0000,4.1451,28.2088,53.5857,53.5889,57.1150,65.3432,76.8207,124.7172,1000000.0000
6,201.6882,251.7522,301.7645,351.8057,401.8160,1.0000,15.7830,36.9005,57.9202,58.3149,65.7372,76.3567,81.0370,89.6409,1000000.0000
7,201.4127,251.4778,301.5167,351.5400,401.5541,1.0000,1.1726,24.4770,26.7387,71.8357,92.0231,109.1849,110.2163,114.7733,1000000.0000
8,201.8847,251.9829,302.0460,352.0867,402.0735,1.0000,1.9488,13.1543,62.4958,65.7449,77.9835,105.6479,109.1168,127.1421,1000000.0000
9,201.5843,251.6732,301.7237,351.7498,401.7596,1.0000,26.5323,41.0024,52.5210,62.7101,67.3656,80.1871,90.0976,116.8072,1000000.0000
10,201.5204,251.6214,301.6789,351.7154,401.6988,1.0000,21.9109,23.4943,59.0062,65.3425,77.3647,99.8962,115.4511,122.3108,1000000.0000
11,202.2625,252.3359,302.3558,352.4031,402.4180,1.0000,2.7890,4.1083,22.2121,36.7365,47.9602,58.2651,72.0207,101.8509,1000000.0000
12,201.5788,251.6160,301.6357,351.6409,401.6384,1.0000,20.7788,34.3480,46.5119,66.5795,70.6044,75.4396,80.9781,91.5953,1000000.0000
13,201.8805,251.9044,301.9152,351.9199,401.9221,1.0000,2.9121,11.0853,25.0703,25.5934,40.9801,79.2488,83.8833,89.4826,1000000.0000
14,201.7131,251.7659,301.8019,351.8513,401.8689,1.0000,5.3737,10.0680,68.2523,87.8373,98.4374,110.0494,122.7781,123.5054,1000000.0000
15,201.2710,251.3523,301.4021,351.4329,401.4516,1.0000,35.6278,52.7795,81.3524,88.1988,114.0870,114.5593,121.7738,125.3346,1000000.0000
16,201.5433,251.6213,301.6968,351.7356,401.7210,1.0000,25.3442,44.0618,75.7318,86.0959,94.8161,96.3799,114.7910,118.8204,1000000.0000
17,201.3849,251.4625,301.5109,351.5408,401.5590,1.0000,22.8004,65.4564,67.1471,79.8510,82.6850,112.1467,112.6076,122.3877,1000000.0000
18,201.6949,251.7830,301.8379,351.8426,401.8563,1.0000,17.2977,44.8953,63.1745,66.4439,73.8752,81.8787,88.7528,123.6030,1000000.0000
19,201.8665,251.9955,302.0857,352.1491,402.1939,1.0000,6.3999,19.5299,74.0336,75.1513,75.6867,113.6778,125.3078,129.7180,1000000.0000
20,201.5554,251.6264,301.6640,351.6573,401.7030,1.0000,17.5740,17.7087,30.6044,31.1282,39.9750,85.4050,93.2377,126.8138,1000000.0000
21,201.1998,251.2808,301.3338,351.3685,401.3913,1.0000,30.6808,36.5784,91.4357,91.6954,92.3247,93.4457,104.5141,119.7755,1000000.0000
22,201.7869,251.8514,301.9112,351.9365,401.9512,1.0000,18.5608,34.9738,43.5784,62.4120,69.9082,88.4552,118.5351,123.2134,1000000.0000
23,201.6249,251.7108,301.7663,351.8021,401.7855,1.0000,1.1848,12.3912,17.4850,72.7145,95.2371,97.9041,100.0171,118.1906,1000000.0000
24,201.2656,251.3407,301.4139,351.4206,401.4750,1.0000,38.2645,39.5868,49.5689,56.0660,80.7071,93.1869,103.6867,121.3167,1000000.0000
25,201.8731,251.9723,302.0243,352.0255,402.0719,1.0000,2.7169,32.4685,52.1367,56.4821,56.9373,83.1407,89.8215,117.5222,1000000.0000
26,201.9304,251.9861,302.0179,352.0362,402.0468,1.0000,4.6526,20.1619,28.0965,57.7487,77.1844,112.8518,114.0989,116.0043,1000000.0000
27,201.6498,251.7112,301.7436,351.7590,401.8038,1.0000,19.8466,26.4489,45.7725,48.3142,60.7632,91.9247,98.9151,109.5685,1000000.0000
28,201.8723,251.9307,301.9586,351.9731,401.9807,1.0000,13.5847,22.5770,27.7196,46.3372,62.4239,71.3476,87.3782,92.7099,1000000.0000
29,201.8536,251.9340,301.9835,352.0140,402.0329,1.0000,6.9883,8.7147,20.5355,80.3715,83.9673,91.0230,113.7454,125.3327,1000000.0000
30,201.2958,251.3895,301.4268,351.4867,401.5091,1.0000,35.8230,55.7908,67.1955,68.0614,76.6182,80.7078,101.3720,118.8864,1000000.0000
31,200.9743,251.0531,301.1053,351.1399,401.1629,1.0000,52.9985,55.0644,73.8571,79.2902,102.1634,105.3194,121.4525,122.9545,1000000.0000
32,201.1333,251.1869,301.2445,351.2709,401.2467,1.0000,36.2447,40.9642,83.3328,84.8176,94.2317,96.9187,111.0416,111.0870,1000000.0000
