trial,rev_1,rev_5,rev_10,rev_20,rev_30,rev_40,rev_50,sup_1,sup_2,sup_3,sup_4,sup_5,sup_6,sup_7,sup_8,sup_9,sup_10
1,2.1152,10.4905,20.8118,41.1527,61.3001,81.3657,101.3948,1.0000,8.5744,9.2853,10.0667,16.3218,18.5060,21.9162,26.8628,29.9379,1000000.0000
2,2.0946,10.4171,20.7209,41.1113,61.3319,81.4591,101.5366,1.0000,10.1657,13.2352,23.5132,24.5770,33.9574,35.8924,53.9494,59.1677,1000000.0000
3,2.1346,10.5449,20.8866,41.2844,61.4899,81.6026,101.6687,1.0000,6.2366,14.0171,21.3540,26.6590,46.5345,48.5119,51.0481,57.0670,1000000.0000
4,2.0862,10.3830,20.6662,41.0326,61.2344,81.3498,101.4167,1.0000,10.9737,19.0634,22.2352,25.7344,43.0426,49.4800,51.2413,53.5865,1000000.0000
5,2.2347,10.6946,20.9984,41.3002,61.4303,81.4902,101.5237,1.0000,2.6571,11.5469,13.7665,16.0461,16.0791,16.5138,31.1648,49.7430,1000000.0000
6,2.0926,10.3845,20.6421,40.9869,61.2096,81.3535,101.4479,1.0000,9.6838,25.7711,42.6216,47.5170,47.8664,51.7923,53.4679,57.1458,1000000.0000
7,2.1182,10.4819,20.7975,41.2096,61.4618,81.6210,101.7244,1.0000,7.2998,17.7227,19.0927,30.2166,30.5927,43.3170,46.8510,54.2058,1000000.0000
8,2.1549,10.5486,20.8456,41.2305,61.4773,81.6461,101.7620,1.0000,5.2169,5.3021,14.9435,29.0423,46.2003,55.3166,55.8117,59.3063,1000000.0000
9,2.1182,10.4652,20.7513,41.1202,61.3497,81.4963,101.5936,1.0000,7.2990,7.9736,25.4869,31.2578,32.3372,41.3402,51.0007,55.2773,1000000.0000
10,2.1612,10.0000,20.9671,41.3838,61.6197,81.7686,101.8706,1.0000,4.9469,14.2063,17.9735,35.1031,39.4244,46.6720,48.8136,49.0860,1000000.0000
11,2.1951,10.0000,21.0930,41.4111,61.5587,81.6526,101.7232,1.0000,4.4601,7.9544,10.4362,12.8884,14.8407,40.5654,43.0771,51.8833,1000000.0000
12,2.1299,10.4794,20.7418,41.0635,61.2553,81.3737,101.4453,1.0000,6.5202,27.5384,28.0790,30.5265,33.0439,47.0037,49.5246,51.4239,1000000.0000
13,2.2401,10.6658,21.0061,41.4509,61.7096,81.8642,101.9555,1.0000,2.4972,10.0409,20.5365,26.9630,30.8446,31.6740,46.3292,57.5729,1000000.0000
14,2.2081,10.7061,21.0536,41.4224,61.6286,81.7631,101.8553,1.0000,3.3867,10.2420,14.0280,41.3618,41.7792,43.6108,50.4777,56.6070,1000000.0000
15,2.2316,10.5901,20.9070,41.3090,61.5219,81.6345,101.7000,1.0000,1.5731,11.0808,15.6237,23.0334,30.6142,47.5858,50.1973,55.1228,1000000.0000
16,2.2387,10.6979,20.9952,41.3005,61.4628,81.5683,101.6411,1.0000,2.5405,11.0534,12.9599,28.2471,50.6681,53.1082,57.4260,57.9992,1000000.0000
