trial,rev_50,rev_60,rev_70,rev_80,rev_90,rev_100,sup_1,sup_2,sup_3,sup_4,sup_5,sup_6,sup_7,sup_8,sup_9,sup_10
1,102.0310,122.1668,142.2783,162.3690,182.4389,202.4866,1.0000,3.6521,9.3312,13.3877,34.9461,48.8991,71.8864,77.9958,82.2960,1000000.0000
2,101.5586,121.5914,141.6046,161.6194,181.6249,201.6181,1.0000,8.5822,16.7198,24.6357,24.8994,30.8237,35.3356,67.9117,78.9601,1000000.0000
3,102.0095,122.0996,142.1642,162.2124,182.2411,202.2774,1.0000,2.5515,10.7456,13.6378,26.8978,31.5794,45.0355,62.7948,78.6328,1000000.0000
4,101.5532,121.6323,141.6902,161.7327,181.7637,201.7846,1.0000,11.0774,12.9252,17.3405,36.1141,56.7015,58.4079,65.2538,70.0168,1000000.0000
5,101.7242,121.7588,141.7767,161.7860,181.7908,201.7938,1.0000,7.4935,13.1374,14.1318,17.5300,25.2176,30.0802,38.3308,68.5183,1000000.0000
6,101.7441,121.8254,141.8870,161.9321,181.9731,201.9890,1.0000,5.8261,10.5582,35.1890,51.7331,55.3987,57.9642,62.1670,67.0408,1000000.0000
7,101.6932,121.7838,141.8469,161.8973,181.9327,201.9590,1.0000,9.1593,23.4202,28.7930,30.0275,39.7306,53.4585,66.7895,72.6282,1000000.0000
8,101.5055,121.5823,141.6373,161.6705,181.6972,201.7256,1.0000,2.4469,25.6933,32.0412,39.8026,47.6828,55.0739,61.2053,62.7001,1000000.0000
9,101.6116,121.7130,141.7897,161.8481,181.8928,201.9271,1.0000,9.3097,24.2830,41.1302,60.6572,64.7048,71.4729,76.1351,80.3707,1000000.0000
10,101.5303,121.5484,141.5568,161.5664,181.5612,201.5706,1.0000,6.0776,15.7204,18.7429,30.5242,32.3090,32.5376,35.0959,75.0474,1000000.0000
11,101.7810,121.8269,141.8501,161.8699,181.8790,201.8749,1.0000,4.0027,9.7921,23.0145,28.8611,36.3345,57.1055,58.6577,59.4128,1000000.0000
12,101.8327,121.9169,141.9744,162.0149,182.0435,202.0639,1.0000,1.8319,10.4750,19.0271,48.2499,59.8260,74.4112,78.6826,84.6065,1000000.0000
13,101.3625,121.4250,141.4685,161.4991,181.5202,201.5349,1.0000,8.2632,8.3040,36.7618,41.0857,44.8145,58.2578,60.9636,66.1188,1000000.0000
14,101.0523,121.0525,141.0529,161.0529,181.0529,201.0523,1.0000,1.9704,2.4386,12.7629,16.1438,16.4062,41.6869,41.6984,42.1209,1000000.0000
15,101.1562,121.2399,141.3038,161.3512,181.3864,201.4122,1.0000,23.1831,33.9158,34.1496,34.5834,37.1941,54.4123,61.4609,79.6987,1000000.0000
16,102.0130,122.0982,142.1551,162.1989,182.2308,202.2638,1.0000,1.5973,6.4040,17.5347,21.2018,35.9250,50.7020,60.3721,79.5322,1000000.0000
17,101.6409,121.7358,141.8044,161.8542,181.8828,201.9132,1.0000,9.9184,25.4844,28.3825,28.5023,37.8385,44.6182,64.9637,81.2480,1000000.0000
18,101.0992,121.1443,141.1708,161.1861,181.1955,201.1914,1.0000,22.9592,25.2899,28.2204,31.2774,44.4446,78.3036,79.7417,84.6803,1000000.0000
