trial,rev_100,rev_125,rev_150,rev_175,rev_200,sup_1,sup_2,sup_3,sup_4,sup_5,sup_6,sup_7,sup_8,sup_9,sup_10
1,201.5275,251.5718,301.5643,351.5932,401.5564,1.0000,15.3558,19.0854,51.2312,56.7606,66.5093,75.5455,91.7158,93.3761,1000000.0000
2,201.2700,251.3108,301.3506,351.3634,401.3702,1.0000,28.4253,39.9848,44.5854,62.6383,78.2600,80.2032,82.6857,84.6009,1000000.0000
3,202.2530,252.3330,302.3758,352.3700,402.4147,1.0000,3.3121,4.8162,18.4408,46.9090,63.3989,65.1840,78.5251,80.9566,1000000.0000
4,201.6570,251.6780,301.6824,351.6843,401.6850,1.0000,1.9724,12.8461,13.6231,20.1962,38.1756,42.7089,86.4385,95.3862,1000000.0000
5,201.1924,251.2385,301.2400,351.2421,401.2767,1.0000,34.7177,42.8610,52.8218,74.9433,75.3368,84.6033,93.6444,96.8487,1000000.0000
6,201.7799,251.7843,301.8076,351.8107,401.8114,1.0000,1.2734,8.3348,8.9286,33.0546,50.4127,59.6272,60.3693,99.6588,1000000.0000
7,201.7055,251.7289,301.7583,351.7650,401.7683,1.0000,12.9111,19.8311,24.1319,36.4248,36.8040,56.2810,60.2793,91.3686,1000000.0000
8,201.7460,251.8063,301.8161,351.8601,401.8751,1.0000,12.2096,22.0567,24.0926,27.9517,32.9765,58.1210,87.0133,96.9794,1000000.0000
9,201.2439,251.2691,301.2986,351.2745,401.3078,1.0000,29.4948,33.0419,34.1832,36.6096,50.0152,52.0422,85.4946,97.0597,1000000.0000
10,201.9995,252.0587,302.0845,352.0984,402.1060,1.0000,2.1294,17.9835,22.8530,24.7203,44.7475,54.7152,61.2287,86.9491,1000000.0000
11,201.5012,251.5626,301.5978,351.6301,401.6398,1.0000,22.9809,46.0293,48.9479,72.4417,76.5825,83.8903,86.0965,95.8805,1000000.0000
12,201.0611,251.1349,301.1620,351.1657,401.1702,1.0000,43.1558,43.7148,48.9499,58.1216,63.9657,83.4860,84.0841,99.0642,1000000.0000
13,201.8644,251.9119,301.9199,351.9321,401.9765,1.0000,5.0787,12.7402,15.1386,29.0822,33.4381,79.2199,92.8684,96.1471,1000000.0000
14,202.0349,252.0740,302.0924,352.1007,402.0646,1.0000,9.2033,18.5554,33.1002,47.1228,52.2811,63.7519,78.9587,79.5123,1000000.0000
15,201.2555,251.2886,301.3057,351.3147,401.3193,1.0000,5.8740,71.8418,74.8510,76.4987,78.1506,82.1016,85.3498,93.9989,1000000.0000
16,201.8452,251.8897,301.9303,351.9277,401.9494,1.0000,1.9286,18.8946,44.6051,56.4001,63.9313,77.0039,87.7652,88.2565,1000000.0000
17,201.9354,252.0090,302.0685,352.0814,402.0878,1.0000,11.6614,26.6171,45.7276,65.9506,81.2563,83.6710,87.7693,90.9367,1000000.0000
18,202.0235,252.0811,302.1132,352.1321,402.1439,1.0000,4.6090,7.7766,23.0438,45.1787,47.2851,49.1431,66.5575,68.3317,1000000.0000
19,201.8608,251.9008,301.9465,351.9324,401.9720,1.0000,1.4858,10.5172,41.7004,42.3641,47.6899,71.6108,73.0402,87.8017,1000000.0000
20,201.8652,251.9073,301.9309,351.9687,401.9371,1.0000,8.8878,35.6341,43.8240,53.3836,56.6349,77.1588,80.2709,90.1557,1000000.0000
21,201.4416,251.4907,301.5425,351.5477,401.5347,1.0000,25.8293,36.8784,43.6989,70.0778,76.0464,87.3621,92.3489,95.6226,1000000.0000
22,201.7288,251.7717,301.7918,351.8288,401.8367,1.0000,13.6930,18.9258,27.9176,69.5676,71.8051,88.1011,93.0084,98.7776,1000000.0000
23,201.6823,251.7113,301.7184,351.7422,401.7502,1.0000,12.5469,20.9796,27.6055,36.6148,42.7260,79.9557,84.1716,93.9396,1000000.0000
24,201.8557,251.8940,301.9143,351.9251,401.9309,1.0000,1.2811,2.2832,13.9313,15.2595,22.5757,52.0799,72.4411,76.4004,1000000.0000
25,201.5712,251.6228,301.6511,351.6665,401.6749,1.0000,14.9429,24.3910,70.0067,70.5172,73.3172,76.7821,89.7068,90.4807,1000000.0000
26,201.4320,251.4729,301.4939,351.5048,401.5104,1.0000,10.9441,11.5056,53.2409,67.5715,76.7395,86.7933,88.4082,90.5222,1000000.0000
27,201.9465,252.0021,302.0087,352.0460,402.0545,1.0000,10.5822,21.9621,45.2085,56.5806,65.3896,70.5813,72.9138,89.3676,1000000.0000
28,201.5602,251.6050,301.6537,351.6721,401.6427,1.0000,15.1113,46.3684,48.6230,67.9909,69.5371,79.2390,87.2322,90.5150,1000000.0000
29,201.8458,251.8985,301.9344,351.9597,401.9780,1.0000,10.5824,11.3262,19.0004,28.4539,41.2946,64.3300,89.4778,93.5221,1000000.0000
30,202.0228,252.1262,302.1890,352.2171,402.2326,1.0000,9.8791,13.0080,25.8677,34.0753,66.3032,76.4961,95.8610,98.1474,1000000.0000
31,202.1361,252.2139,302.2802,352.3119,402.3322,1.0000,9.0587,24.8507,35.7188,47.8231,66.6153,78.9291,88.0079,98.0904,1000000.0000
32,201.6831,251.7367,301.7907,351.8128,401.8251,1.0000,13.3718,38.9681,65.9343,77.8801,86.0163,93.4382,94.2106,94.9850,1000000.0000
33,201.0917,251.1209,301.1066,351.1322,401.0937,1.0000,31.9904,33.3719,44.0556,81.5353,88.7179,89.2845,90.1600,91.6638,1000000.0000
34,201.7376,251.8087,301.8196,351.8604,401.8708,1.0000,12.7072,39.3339,48.7192,53.6251,56.2075,83.1959,83.2961,89.5680,1000000.0000
35,201.6984,251.7057,301.6855,351.7085,401.7087,1.0000,10.3071,12.1859,14.5143,24.4154,25.8837,32.8199,49.9097,58.6136,1000000.0000
36,202.0062,252.0408,302.0832,352.0985,402.1077,1.0000,7.7742,11.1311,24.8779,40.0072,62.7505,64.6838,73.4277,87.5796,1000000.0000
37,201.8020,251.8843,301.9434,351.9773,402.0003,1.0000,4.0819,35.1657,52.1895,52.9729,64.1514,66.7922,75.2543,95.6836,1000000.0000
