trial,rev_100,rev_125,rev_150,rev_175,rev_200,sup_1,sup_2,sup_3,sup_4,sup_5,sup_6,sup_7,sup_8,sup_9,sup_10
1,201.8098,251.9220,301.9909,352.0415,402.0372,1.0000,13.3933,38.7418,49.2431,96.5778,96.6640,118.5916,118.8430,137.4649,1000000.0000
2,201.7644,251.7951,301.8127,351.8247,401.8330,1.0000,5.4449,6.6704,15.3943,19.1252,25.6458,32.3416,75.4558,116.0865,1000000.0000
3,201.5118,251.5531,301.5672,351.5994,401.6034,1.0000,21.0766,22.5383,25.4814,49.2294,62.6625,63.8989,70.4208,102.3751,1000000.0000
4,202.0332,252.0452,302.0493,352.0508,402.0513,1.0000,1.6370,8.5664,18.9012,28.4908,36.7687,44.2642,70.7476,137.2908,1000000.0000
5,201.9250,251.9793,302.0091,352.0106,402.0353,1.0000,7.9372,30.1056,35.3092,40.2995,63.2377,81.2567,125.6394,130.4095,1000000.0000
6,201.5952,251.6830,301.7336,351.7610,401.7775,1.0000,18.8912,26.6226,28.7297,64.5029,88.1554,106.3180,111.2768,117.4589,1000000.0000
7,201.5970,251.6523,301.6686,351.6760,401.6794,1.0000,15.8755,18.6623,23.5655,48.3343,82.9915,85.2271,92.9945,100.0376,1000000.0000
8,202.1476,252.2573,302.3728,352.4534,402.5185,1.0000,6.1175,19.5670,31.3563,39.1443,73.8899,115.1378,123.0286,139.3477,1000000.0000
9,202.1520,252.2043,302.2572,352.2785,402.2911,1.0000,5.2651,20.8347,39.9096,52.0643,63.4031,78.2307,81.0352,136.8592,1000000.0000
10,201.5541,251.5784,301.6131,351.6213,401.6258,1.0000,19.4498,30.1571,42.9393,57.1585,58.1417,62.0701,70.9144,75.7469,1000000.0000
11,202.0285,252.1391,302.2149,352.2370,402.3038,1.0000,8.3218,34.6673,43.7088,44.6833,64.7449,92.7409,114.2526,127.8704,1000000.0000
12,201.2553,251.3385,301.3905,351.4231,401.4436,1.0000,1.0103,36.4231,52.3174,74.0907,74.7465,90.0121,109.9635,119.8999,1000000.0000
13,201.8595,251.9511,302.0012,352.0253,402.0751,1.0000,19.1312,33.4463,53.7968,64.3999,77.6492,88.7990,106.1186,139.6065,1000000.0000
14,202.1460,252.2578,302.3325,352.3534,402.3802,1.0000,5.4847,29.5875,50.4120,54.5461,78.8566,94.0081,106.0317,124.6484,1000000.0000
15,201.5988,251.6191,301.6271,351.6302,401.6314,1.0000,15.0840,22.0762,37.0202,43.2481,43.4750,60.1579,91.1239,92.7507,1000000.0000
16,202.1721,252.2296,302.2873,352.3122,402.3272,1.0000,4.8916,23.4308,24.3214,35.9189,42.6149,52.9802,71.7167,100.6159,1000000.0000
17,201.8024,251.8180,301.8239,351.7957,401.8072,1.0000,2.8673,18.4065,30.5173,34.9997,44.2225,75.8254,133.3589,133.5468,1000000.0000
18,201.5290,251.5612,301.5950,351.6040,401.6084,1.0000,18.0163,34.7175,48.9067,51.7385,53.1042,58.0335,64.5297,125.7148,1000000.0000
