trial,rev_1,sup_1,sup_2,sup_3,sup_4,sup_5
1,0.7827,0.0000,0.0631,0.3393,0.5451,0.8647
2,0.7400,0.0000,0.5575,0.7864,0.8879,0.9747
3,0.7895,0.0000,0.2763,0.4050,0.5057,0.9737
4,0.7498,0.0000,0.4921,0.6832,0.7968,0.9759
5,0.7406,0.0000,0.2282,0.4241,0.7916,0.8826
6,0.7465,0.0000,0.2404,0.3805,0.7012,0.7204
7,0.7011,0.0000,0.1295,0.1585,0.1846,0.6418
8,0.7916,0.0000,0.0178,0.3974,0.5878,0.8523
9,0.7682,0.0000,0.2112,0.5267,0.6643,0.9248
10,0.7786,0.0000,0.4707,0.5310,0.6684,0.6992
11,0.7879,0.0000,0.0428,0.3637,0.3695,0.6030
12,0.6731,0.0000,0.0209,0.2324,0.7108,0.9574
13,0.5107,0.0000,0.0549,0.7824,0.8738,0.8927
14,0.7419,0.0000,0.1426,0.2582,0.6276,0.7678
15,0.7531,0.0000,0.2707,0.4413,0.9443,0.9882
16,0.6574,0.0000,0.2199,0.2892,0.7506,0.9202
17,0.7921,0.0000,0.4330,0.5010,0.5527,0.8259
18,0.7471,0.0000,0.1409,0.5305,0.9491,0.9997
19,0.7600,0.0000,0.4423,0.4780,0.7959,0.9512
20,0.6579,0.0000,0.2309,0.3102,0.7698,0.7700
21,0.6603,0.0000,0.2741,0.3228,0.8480,0.9254
22,0.7655,0.0000,0.0345,0.2655,0.4851,0.7904
23,0.7938,0.0000,0.2225,0.3456,0.3886,0.5280
24,0.7259,0.0000,0.5896,0.7083,0.9656,0.9963
25,0.7987,0.0000,0.2289,0.4210,0.5625,0.8338
26,0.7845,0.0000,0.0811,0.1152,0.3456,0.5892
27,0.7456,0.0000,0.0600,0.0853,0.4623,0.7974
28,0.7078,0.0000,0.0701,0.1865,0.2761,0.3713
29,0.6757,0.0000,0.1106,0.1337,0.3426,0.8542
30,0.7717,0.0000,0.3395,0.4448,0.7234,0.7438
31,0.7054,0.0000,0.2391,0.2620,0.6916,0.8435
32,0.7407,0.0000,0.0566,0.5555,0.6661,0.6795
33,0.7756,0.0000,0.0183,0.4782,0.5434,0.8670
34,0.7796,0.0000,0.3749,0.6324,0.8067,0.8410
35,0.7372,0.0000,0.2599,0.4085,0.8044,0.9904
36,0.6435,0.0000,0.0065,0.0205,0.2997,0.3107
37,0.6494,0.0000,0.3171,0.7742,0.9097,0.9779
38,0.7458,0.0000,0.0924,0.2748,0.4113,0.7724
39,0.8000,0.0000,0.0134,0.3673,0.5256,0.6160
40,0.7900,0.0000,0.0169,0.3706,0.5750,0.7503
41,0.7122,0.0000,0.1086,0.2358,0.3724,0.7826
42,0.7937,0.0000,0.2626,0.4201,0.5200,0.9465
43,0.7802,0.0000,0.4830,0.5877,0.6570,0.7930
44,0.3703,0.0000,0.0423,0.8558,0.8847,0.9552
45,0.7337,0.0000,0.0354,0.1158,0.5737,0.6807
46,0.6390,0.0000,0.1721,0.7022,0.8361,0.9737
47,0.7645,0.0000,0.2411,0.5160,0.7538,0.8395
48,0.6095,0.0000,0.0234,0.0235,0.7164,0.7699
49,0.7872,0.0000,0.1044,0.3849,0.6107,0.8576
50,0.6830,0.0000,0.0040,0.0686,0.6493,0.7223
