trial,rev_1,sup_1,sup_2,sup_3,sup_4,sup_5,sup_6,sup_7,sup_8,sup_9,sup_10
1,0.5189,0.0000,0.0202,0.0710,0.0871,0.3834,0.5289,0.5680,0.7917,0.8326,0.9256
2,0.4987,0.0000,0.1183,0.1434,0.4615,0.6399,0.7782,0.7805,0.7992,0.8700,0.9786
3,0.5269,0.0000,0.0188,0.2646,0.4147,0.4562,0.5218,0.5684,0.6176,0.7742,0.9447
4,0.5137,0.0000,0.0602,0.3595,0.4370,0.6121,0.6169,0.6668,0.6818,0.6976,0.9437
5,0.5254,0.0000,0.1020,0.1289,0.2104,0.3154,0.3637,0.4386,0.5702,0.6706,0.9884
6,0.5098,0.0000,0.1104,0.1590,0.1613,0.2089,0.2444,0.2533,0.4663,0.6531,0.6563
7,0.5089,0.0000,0.0961,0.0971,0.1382,0.1966,0.3687,0.4687,0.8210,0.8379,0.9765
8,0.5049,0.0000,0.0392,0.1187,0.1202,0.2828,0.2961,0.3180,0.6048,0.7393,0.9768
9,0.5247,0.0000,0.0641,0.0939,0.2654,0.4143,0.5232,0.5666,0.5759,0.6925,0.9293
10,0.5107,0.0000,0.0201,0.1318,0.1832,0.2894,0.3186,0.5865,0.6674,0.7163,0.8289
11,0.5063,0.0000,0.0047,0.2488,0.2700,0.5723,0.5762,0.5920,0.6778,0.7352,0.9622
12,0.5073,0.0000,0.2231,0.2974,0.3965,0.4471,0.6995,0.8138,0.8464,0.8811,0.9527
13,0.5210,0.0000,0.4239,0.5013,0.5813,0.6064,0.6440,0.6925,0.7253,0.8817,0.9561
14,0.5239,0.0000,0.0192,0.1355,0.2901,0.2983,0.3016,0.4288,0.5700,0.6180,0.6602
15,0.5215,0.0000,0.3676,0.4314,0.4359,0.5743,0.5909,0.6521,0.6532,0.8919,0.8965
16,0.4214,0.0000,0.1002,0.1494,0.1625,0.7039,0.7142,0.8062,0.8681,0.9195,0.9988
17,0.5208,0.0000,0.0692,0.1238,0.4072,0.4535,0.5691,0.6156,0.6974,0.8073,0.8480
18,0.5138,0.0000,0.0117,0.1716,0.3600,0.5210,0.7221,0.7300,0.8558,0.8664,0.9755
19,0.4640,0.0000,0.0185,0.0318,0.0543,0.2000,0.2239,0.3454,0.7044,0.7937,0.9281
20,0.5032,0.0000,0.1647,0.2379,0.5356,0.5772,0.5899,0.6140,0.6215,0.7301,0.9342
21,0.5158,0.0000,0.1862,0.2098,0.2274,0.2544,0.3119,0.3982,0.4905,0.7396,0.9444
22,0.5049,0.0000,0.0247,0.0580,0.0672,0.1796,0.3118,0.3778,0.4344,0.6794,0.6963
23,0.5174,0.0000,0.0207,0.2169,0.2633,0.4537,0.5366,0.6631,0.7584,0.8967,0.9903
24,0.5167,0.0000,0.1856,0.2735,0.3200,0.3835,0.5883,0.6290,0.7980,0.8310,0.8727
25,0.5038,0.0000,0.0257,0.2133,0.2155,0.2539,0.5182,0.6875,0.7309,0.9474,0.9528
26,0.5340,0.0000,0.1175,0.2075,0.2776,0.3742,0.4247,0.4636,0.5174,0.5868,0.8639
27,0.5267,0.0000,0.1321,0.1448,0.1833,0.3556,0.3961,0.4881,0.5654,0.7169,0.9404
28,0.5143,0.0000,0.0834,0.2408,0.2921,0.5522,0.5845,0.7487,0.7653,0.9037,0.9619
29,0.5160,0.0000,0.0164,0.0640,0.1003,0.2817,0.4856,0.5864,0.6699,0.7852,0.9295
30,0.4991,0.0000,0.2317,0.3382,0.6304,0.7992,0.8765,0.9414,0.9493,0.9616,0.9775
31,0.5220,0.0000,0.0132,0.1481,0.2930,0.3472,0.4784,0.6179,0.8489,0.8743,0.9818
32,0.5237,0.0000,0.0978,0.1369,0.1898,0.2243,0.3686,0.4974,0.5113,0.6395,0.8221
33,0.4860,0.0000,0.0811,0.2322,0.3331,0.4072,0.7740,0.8622,0.9066,0.9608,0.9729
34,0.4408,0.0000,0.0114,0.0534,0.0795,0.0896,0.1325,0.1469,0.6720,0.7256,0.7706
35,0.5240,0.0000,0.0554,0.1315,0.2454,0.2703,0.3016,0.4205,0.5574,0.7270,0.8606
36,0.5121,0.0000,0.0568,0.1812,0.2621,0.2835,0.3799,0.4561,0.6833,0.6956,0.7885
37,0.5141,0.0000,0.1971,0.2594,0.2728,0.3709,0.3738,0.5876,0.6970,0.7774,0.7787
38,0.5232,0.0000,0.0446,0.0770,0.3068,0.4599,0.5188,0.5775,0.6456,0.7998,0.9594
39,0.5249,0.0000,0.0354,0.1289,0.2776,0.3927,0.4304,0.5100,0.5362,0.6814,0.9564
40,0.5219,0.0000,0.1871,0.3990,0.4569,0.4586,0.5438,0.7242,0.8820,0.9040,0.9040
41,0.4957,0.0000,0.1605,0.2400,0.3277,0.6361,0.6900,0.6996,0.7568,0.7964,0.9592
42,0.5132,0.0000,0.4572,0.4581,0.5758,0.5910,0.8155,0.8208,0.8577,0.9088,0.9519
43,0.5127,0.0000,0.0333,0.0627,0.1594,0.2587,0.3984,0.4240,0.6289,0.8490,0.9590
44,0.4835,0.0000,0.0163,0.0996,0.1852,0.3554,0.3567,0.4013,0.8695,0.9293,0.9453
45,0.5231,0.0000,0.0156,0.0331,0.0681,0.2327,0.2519,0.3267,0.4288,0.4542,0.6145
46,0.5109,0.0000,0.0120,0.1155,0.1311,0.2212,0.2532,0.4091,0.6185,0.9743,0.9903
47,0.5123,0.0000,0.0653,0.1630,0.2414,0.2884,0.4903,0.6388,0.6625,0.7832,0.9894
48,0.5301,0.0000,0.2461,0.2871,0.3605,0.4149,0.4241,0.5173,0.5547,0.6659,0.7066
49,0.4541,0.0000,0.0460,0.2326,0.3485,0.8150,0.8287,0.9049,0.9250,0.9690,0.9855
50,0.4624,0.0000,0.0584,0.1059,0.2334,0.2494,0.2966,0.6898,0.7307,0.9510,0.9920
51,0.5040,0.0000,0.1719,0.2378,0.2724,0.3045,0.3743,0.3791,0.4493,0.7488,0.8817
52,0.5043,0.0000,0.2377,0.5024,0.6340,0.6996,0.7508,0.8392,0.8673,0.9402,0.9426
53,0.5238,0.0000,0.0709,0.1313,0.1524,0.2928,0.4175,0.4518,0.6041,0.9680,0.9944
54,0.5257,0.0000,0.2748,0.3828,0.4067,0.5469,0.5521,0.5922,0.8954,0.8968,0.9678
55,0.5262,0.0000,0.2484,0.2717,0.3104,0.3730,0.4017,0.4554,0.5059,0.5250,0.7506
