trial,rev_1,sup_1,sup_2,sup_3,sup_4,sup_5,sup_6,sup_7,sup_8,sup_9,sup_10,sup_11
1,0.5179,0.0000,0.0386,0.3146,0.4850,0.5173,0.5546,0.6573,0.7256,0.7731,0.8269,0.9012
2,0.5093,0.0000,0.0429,0.0997,0.1509,0.2169,0.2982,0.3303,0.3331,0.4756,0.8200,0.9031
3,0.4872,0.0000,0.0689,0.1404,0.2274,0.3108,0.3360,0.3952,0.7057,0.7186,0.7278,0.8139
4,0.5227,0.0000,0.1624,0.1798,0.2177,0.2908,0.3455,0.4801,0.5222,0.8152,0.8536,0.9738
5,0.5242,0.0000,0.0692,0.1115,0.2201,0.3165,0.3223,0.4590,0.4826,0.6229,0.7298,0.8894
6,0.5169,0.0000,0.1765,0.1973,0.2902,0.3042,0.5063,0.5349,0.7348,0.8792,0.9392,0.9998
7,0.5099,0.0000,0.2138,0.4924,0.5592,0.5911,0.7239,0.8053,0.8340,0.8738,0.9217,0.9223
8,0.5154,0.0000,0.0122,0.0977,0.2286,0.2296,0.3228,0.5069,0.5149,0.7369,0.7712,0.9384
9,0.5147,0.0000,0.0101,0.0307,0.0440,0.2244,0.4758,0.5201,0.5929,0.6771,0.7088,0.8795
10,0.5306,0.0000,0.0210,0.1075,0.2437,0.2875,0.4116,0.4567,0.4895,0.5823,0.5886,0.9537
11,0.5091,0.0000,0.1853,0.2358,0.4904,0.6205,0.6396,0.7532,0.7783,0.8483,0.9485,0.9958
12,0.5079,0.0000,0.0681,0.1273,0.1294,0.2544,0.2653,0.3500,0.4715,0.7194,0.9439,0.9649
13,0.5288,0.0000,0.0243,0.1418,0.3167,0.4301,0.4753,0.5258,0.6267,0.6521,0.7275,0.8532
14,0.5100,0.0000,0.0135,0.2328,0.2561,0.2656,0.3106,0.4838,0.7151,0.7912,0.8237,0.9692
15,0.5198,0.0000,0.0053,0.0114,0.0511,0.0833,0.4186,0.5112,0.5581,0.7049,0.8590,0.9655
16,0.4867,0.0000,0.0007,0.1089,0.1520,0.1859,0.2646,0.2783,0.6395,0.6915,0.9417,0.9751
17,0.5177,0.0000,0.0429,0.1410,0.3979,0.5207,0.6177,0.7009,0.7745,0.8611,0.9133,0.9673
18,0.5176,0.0000,0.0171,0.1003,0.1203,0.3542,0.5246,0.6151,0.7549,0.7590,0.8850,0.9671
19,0.5184,0.0000,0.0661,0.2659,0.2959,0.4724,0.5190,0.5524,0.7834,0.8281,0.9293,0.9851
20,0.5238,0.0000,0.0352,0.1637,0.2028,0.2628,0.3578,0.4236,0.4383,0.4414,0.5221,0.9062
21,0.4944,0.0000,0.1105,0.1280,0.5526,0.6033,0.6308,0.8164,0.8518,0.9624,0.9879,0.9980
22,0.5146,0.0000,0.0021,0.1989,0.2809,0.3297,0.3304,0.5832,0.6384,0.7286,0.9478,0.9561
23,0.5197,0.0000,0.1024,0.1082,0.2212,0.2766,0.3499,0.3923,0.3970,0.5063,0.6837,0.7918
24,0.4945,0.0000,0.0246,0.1040,0.2306,0.2687,0.3166,0.6340,0.7064,0.8003,0.8268,0.9556
25,0.5143,0.0000,0.0181,0.1036,0.1560,0.4260,0.4355,0.5906,0.6340,0.7510,0.7987,0.8927
26,0.5307,0.0000,0.2638,0.2992,0.3884,0.3895,0.4863,0.5882,0.6973,0.9235,0.9446,0.9839
