trial,rev_1,sup_1,sup_2,sup_3,sup_4,sup_5,sup_6,sup_7,sup_8,sup_9,sup_10,sup_11,sup_12
1,0.5166,0.0000,0.0150,0.0425,0.0604,0.1175,0.1480,0.3817,0.4574,0.6148,0.6444,0.8240,0.8855
2,0.4978,0.0000,0.0062,0.0093,0.1603,0.1851,0.5321,0.6091,0.6443,0.7143,0.7296,0.9428,0.9444
3,0.5189,0.0000,0.1252,0.1264,0.2270,0.2977,0.4939,0.5819,0.7608,0.7809,0.8768,0.9642,0.9982
4,0.5280,0.0000,0.0756,0.1296,0.1515,0.1621,0.1663,0.3050,0.4138,0.4608,0.5527,0.9414,0.9635
5,0.5109,0.0000,0.0048,0.1139,0.1763,0.2980,0.5538,0.6981,0.7092,0.7210,0.7220,0.7319,0.9417
6,0.5112,0.0000,0.0277,0.1732,0.3422,0.3591,0.3756,0.4144,0.6166,0.6603,0.7913,0.8752,0.9004
7,0.5222,0.0000,0.2505,0.3029,0.4761,0.4801,0.5018,0.5232,0.5773,0.6050,0.6439,0.7212,0.8115
8,0.5043,0.0000,0.0252,0.0392,0.1316,0.1595,0.1697,0.2681,0.2716,0.4170,0.4268,0.4619,0.7262
9,0.5265,0.0000,0.0352,0.0619,0.1807,0.2680,0.3385,0.3502,0.4749,0.5775,0.8213,0.8527,0.9041
10,0.5229,0.0000,0.0016,0.1455,0.3797,0.3962,0.5370,0.5716,0.7692,0.7791,0.8051,0.9789,0.9836
11,0.5145,0.0000,0.0634,0.0832,0.2387,0.2876,0.4099,0.6019,0.6868,0.7225,0.7690,0.9438,0.9748
12,0.5187,0.0000,0.0001,0.0493,0.1150,0.2529,0.2542,0.3755,0.3936,0.5323,0.7491,0.7578,0.9335
13,0.5241,0.0000,0.1440,0.3920,0.4087,0.4972,0.5184,0.5682,0.6652,0.6680,0.7134,0.8048,0.8408
14,0.5197,0.0000,0.0272,0.1343,0.1648,0.3175,0.4866,0.4884,0.5750,0.5956,0.6926,0.8197,0.8506
15,0.4889,0.0000,0.2306,0.2926,0.2953,0.3440,0.3657,0.3954,0.7047,0.7053,0.7399,0.9483,0.9682
16,0.5263,0.0000,0.2304,0.2460,0.2580,0.4267,0.4734,0.5456,0.5831,0.6105,0.6804,0.8342,0.9747
17,0.5220,0.0000,0.0439,0.1835,0.1842,0.2372,0.3554,0.4144,0.5359,0.6676,0.7399,0.7548,0.9670
18,0.5022,0.0000,0.0293,0.2308,0.3259,0.3322,0.3928,0.4090,0.4350,0.7084,0.8205,0.9083,0.9895
19,0.4953,0.0000,0.1020,0.1149,0.1761,0.2034,0.2173,0.3660,0.6444,0.7081,0.7241,0.7878,0.9219
20,0.5238,0.0000,0.0459,0.2248,0.3198,0.4639,0.5384,0.5395,0.5614,0.5725,0.6840,0.8168,0.8477
