trial,rev_1,sup_1,sup_2,sup_3,sup_4,sup_5,sup_6,sup_7,sup_8,sup_9,sup_10,sup_11,sup_12,sup_13
1,0.5219,0.0000,0.0318,0.0416,0.0606,0.1373,0.1511,0.2251,0.3501,0.4101,0.4201,0.4352,0.5076,0.8324
2,0.4950,0.0000,0.0249,0.0331,0.2886,0.3525,0.4229,0.7457,0.7525,0.7605,0.8108,0.8212,0.8614,0.9776
3,0.5091,0.0000,0.0010,0.1362,0.2066,0.2077,0.2273,0.2839,0.3952,0.4629,0.7128,0.7201,0.7321,0.8546
4,0.5318,0.0000,0.0118,0.0982,0.1883,0.2954,0.3453,0.3723,0.4283,0.4629,0.4895,0.5879,0.6754,0.9737
5,0.5115,0.0000,0.0822,0.0886,0.1824,0.2012,0.4810,0.5013,0.5042,0.5972,0.6116,0.8681,0.8724,0.9975
6,0.5143,0.0000,0.0881,0.1065,0.1131,0.1227,0.1829,0.1887,0.4702,0.5280,0.5779,0.6338,0.7595,0.9196
7,0.4990,0.0000,0.0687,0.0812,0.0919,0.0939,0.1332,0.1604,0.1920,0.5216,0.6232,0.6902,0.8457,0.8480
8,0.5250,0.0000,0.0850,0.1413,0.1559,0.3711,0.4789,0.5001,0.5183,0.5465,0.5606,0.5765,0.8326,0.8725
9,0.5135,0.0000,0.0461,0.0857,0.1540,0.2699,0.3346,0.3677,0.5897,0.7767,0.8711,0.8916,0.8947,0.9874
10,0.5296,0.0000,0.0541,0.1908,0.2163,0.3021,0.4211,0.5341,0.5436,0.6257,0.6274,0.7028,0.7207,0.7650
11,0.5264,0.0000,0.1146,0.1755,0.2155,0.3662,0.4853,0.5729,0.5738,0.6244,0.6409,0.6567,0.6791,0.7481
12,0.5010,0.0000,0.0213,0.0324,0.0356,0.1187,0.1652,0.2256,0.2643,0.4263,0.6835,0.6942,0.7130,0.9319
13,0.5088,0.0000,0.0058,0.1348,0.1780,0.2734,0.3632,0.3835,0.4684,0.7593,0.7619,0.8802,0.8956,0.8965
14,0.5119,0.0000,0.0285,0.0498,0.1613,0.2971,0.5438,0.6446,0.6468,0.7229,0.7356,0.7664,0.8286,0.9864
15,0.4941,0.0000,0.0024,0.0119,0.0833,0.2046,0.5544,0.6199,0.6869,0.6953,0.7570,0.8260,0.8354,0.9160
16,0.5246,0.0000,0.0115,0.0122,0.0970,0.3069,0.4166,0.5323,0.6498,0.7244,0.8300,0.8919,0.9830,0.9882
17,0.5193,0.0000,0.0109,0.0446,0.1514,0.4329,0.4945,0.5336,0.6091,0.8483,0.8877,0.9514,0.9630,0.9780
18,0.5210,0.0000,0.0307,0.0738,0.2378,0.3502,0.5378,0.6553,0.6690,0.6983,0.7265,0.7906,0.8192,0.9522
19,0.5225,0.0000,0.0213,0.0433,0.0446,0.1726,0.2491,0.4047,0.5084,0.6480,0.7322,0.9099,0.9259,0.9867
20,0.5219,0.0000,0.0332,0.2421,0.2820,0.3426,0.3470,0.4503,0.4899,0.6510,0.7018,0.7134,0.8292,0.8949
21,0.5203,0.0000,0.0164,0.1013,0.1361,0.1656,0.4135,0.5258,0.5814,0.6464,0.6920,0.7078,0.7664,0.9609
22,0.5217,0.0000,0.0154,0.0227,0.0937,0.1958,0.2918,0.3147,0.3292,0.5242,0.5489,0.6806,0.9031,0.9761
23,0.5300,0.0000,0.0337,0.0874,0.2857,0.3143,0.3532,0.5140,0.5519,0.5800,0.5983,0.8096,0.8516,0.9329
24,0.5230,0.0000,0.0031,0.1717,0.2111,0.3754,0.5149,0.6293,0.6901,0.7010,0.7710,0.9145,0.9823,0.9983
25,0.5283,0.0000,0.0746,0.1471,0.1659,0.1687,0.1991,0.1999,0.3216,0.3459,0.4518,0.4751,0.5763,0.8706
26,0.5243,0.0000,0.1716,0.3307,0.3307,0.3501,0.3691,0.5193,0.6113,0.6756,0.6795,0.8496,0.8743,0.8855
27,0.5285,0.0000,0.0378,0.0480,0.1733,0.1984,0.2077,0.3220,0.4386,0.4568,0.5734,0.7837,0.9599,0.9923
28,0.5237,0.0000,0.0857,0.1103,0.3765,0.4059,0.4564,0.4637,0.5104,0.6311,0.7959,0.8812,0.9055,0.9259
29,0.5199,0.0000,0.0497,0.0921,0.1406,0.1716,0.3632,0.3640,0.4636,0.6173,0.6696,0.7124,0.7253,0.7509
30,0.5213,0.0000,0.0220,0.1714,0.1715,0.2651,0.2681,0.4040,0.5398,0.6960,0.7961,0.8132,0.8693,0.9754
31,0.5179,0.0000,0.0352,0.0493,0.1739,0.2174,0.4547,0.5141,0.5400,0.5683,0.6989,0.7757,0.7831,0.9845
32,0.5296,0.0000,0.0476,0.0646,0.3273,0.3910,0.4278,0.5200,0.5746,0.6316,0.6946,0.9881,0.9885,0.9978
33,0.5272,0.0000,0.2719,0.2854,0.3377,0.4749,0.4750,0.5696,0.6262,0.7099,0.7420,0.7438,0.8027,0.9192
