trial,rev_1,sup_1,sup_2,sup_3,sup_4,sup_5,sup_6,sup_7,sup_8,sup_9,sup_10,sup_11,sup_12,sup_13,sup_14
1,0.5230,0.0000,0.0862,0.1738,0.2321,0.2324,0.2381,0.4029,0.5032,0.5307,0.6398,0.7151,0.8489,0.8572,0.8630
2,0.5078,0.0000,0.1352,0.1721,0.2086,0.2852,0.3415,0.3737,0.4501,0.7055,0.7479,0.8511,0.8842,0.9192,0.9440
3,0.5304,0.0000,0.0575,0.1019,0.1267,0.3228,0.3604,0.4201,0.4608,0.5323,0.6200,0.6485,0.7487,0.7947,0.8484
4,0.5280,0.0000,0.1387,0.1609,0.2941,0.3569,0.3587,0.4784,0.5234,0.6302,0.6860,0.6893,0.8663,0.9186,0.9877
5,0.5222,0.0000,0.0592,0.1267,0.1604,0.3910,0.4942,0.5405,0.6046,0.7132,0.7142,0.7663,0.8351,0.8786,0.9728
6,0.5021,0.0000,0.0201,0.0490,0.0700,0.1249,0.2160,0.2298,0.5272,0.5607,0.7266,0.7626,0.7676,0.8496,0.9932
7,0.5286,0.0000,0.0008,0.0649,0.2022,0.2438,0.3917,0.4489,0.4557,0.4601,0.5052,0.5167,0.5315,0.6365,0.6467
8,0.5294,0.0000,0.0341,0.2514,0.2666,0.3103,0.4128,0.5105,0.5226,0.5498,0.6400,0.6830,0.7340,0.8723,0.9044
9,0.5162,0.0000,0.0466,0.2101,0.2350,0.2461,0.4736,0.4994,0.5066,0.5160,0.6082,0.6876,0.9311,0.9351,0.9966
10,0.5156,0.0000,0.0452,0.3038,0.3649,0.3777,0.5926,0.6199,0.6721,0.6828,0.6975,0.8269,0.8704,0.8947,0.9296
11,0.5208,0.0000,0.1613,0.1887,0.2079,0.2459,0.4447,0.4602,0.5480,0.6046,0.6372,0.6634,0.9192,0.9410,0.9795
12,0.5147,0.0000,0.0038,0.1532,0.2027,0.2111,0.2327,0.4389,0.5001,0.5031,0.5146,0.6909,0.7568,0.8839,0.9556
13,0.5068,0.0000,0.0738,0.2684,0.2688,0.2764,0.5607,0.7724,0.7837,0.8375,0.8583,0.8983,0.9219,0.9620,0.9702
14,0.5051,0.0000,0.0578,0.1833,0.5148,0.5223,0.5425,0.5749,0.5903,0.5925,0.7064,0.7332,0.8163,0.8588,0.9381
15,0.5169,0.0000,0.0577,0.0773,0.3134,0.3209,0.5278,0.5401,0.8616,0.9147,0.9339,0.9476,0.9698,0.9886,0.9962
16,0.4990,0.0000,0.0998,0.1754,0.1790,0.2355,0.2526,0.2671,0.3645,0.4196,0.7001,0.7526,0.7877,0.8754,0.8864
17,0.5278,0.0000,0.0997,0.1852,0.2306,0.3364,0.4604,0.5271,0.5477,0.6114,0.6873,0.7600,0.8475,0.9139,0.9519
