trial,rev_15_5,rev_15_10,rev_20_5,rev_20_10,sup_1,sup_2,sup_3,sup_4,sup_5,sup_6
1,21.0707,21.1591,26.0706,26.1590,0.0000,0.0366,1.0000,36.9727,55.4235,1000000.0000
2,61.8495,91.8495,72.4661,102.4661,0.0000,1.0000,3.2959,48.9966,90.1801,1000000.0000
3,21.1202,21.2700,26.1201,26.2699,0.0000,1.0000,4.1371,32.1590,115.9120,1000000.0000
4,21.2175,21.4854,26.2174,26.4853,0.0000,1.0000,3.1549,17.2287,151.4432,1000000.0000
5,21.0274,21.0619,26.0273,26.0618,0.0000,1.0000,3.8055,10.6992,144.1642,1000000.0000
6,21.0439,21.0990,26.0438,26.0989,0.0000,1.0000,2.2552,58.6747,89.7532,1000000.0000
7,52.9098,73.9597,60.5465,90.5453,0.0000,0.5992,1.0000,37.8537,181.8608,1000000.0000
8,49.1041,74.1305,56.7983,81.8250,0.0000,0.6144,1.0000,124.9349,188.3613,1000000.0000
9,63.4477,93.4477,74.5969,104.5969,0.0000,1.0000,2.8174,118.6418,188.9144,1000000.0000
10,21.0213,21.0481,26.0212,26.0480,0.0000,1.0000,4.9435,40.7090,185.8037,1000000.0000
11,59.0546,89.0535,64.7615,98.7384,0.0000,1.0000,1.2490,11.2044,185.0438,1000000.0000
12,21.0384,21.0866,26.0383,26.0865,0.0000,1.0000,3.7418,44.5916,102.7722,1000000.0000
13,21.0317,21.0715,26.0316,26.0714,0.0000,1.0000,3.1261,48.8078,124.6954,1000000.0000
14,58.9408,88.9408,68.5878,98.5878,0.0000,1.0000,3.7661,178.5721,180.7008,1000000.0000
15,57.5816,82.6339,68.0942,93.1470,0.0000,1.0000,3.3583,95.5738,163.5953,1000000.0000
16,48.0636,78.0636,53.0654,83.0654,0.0000,1.0000,3.0657,20.8547,194.9130,1000000.0000
17,21.0217,21.0489,26.0216,26.0488,0.0000,1.0000,4.0023,34.3451,182.6014,1000000.0000
18,58.4924,88.4924,67.9899,97.9899,0.0000,1.0000,1.1762,64.0094,131.3509,1000000.0000
19,53.4779,78.5043,62.6300,87.6565,0.0000,1.0000,3.9484,32.1376,187.7670,1000000.0000
20,52.6148,77.6451,61.4782,86.5085,0.0000,0.9552,1.0000,72.1055,164.7751,1000000.0000
21,21.0214,21.0483,26.0213,26.0482,0.0000,1.0000,2.4270,184.9559,190.0461,1000000.0000
22,53.9799,83.9799,61.9731,91.9731,0.0000,0.6954,1.0000,96.2037,96.8990,1000000.0000
23,49.3138,74.3497,57.0755,91.0442,0.0000,0.6323,1.0000,56.4731,139.1549,1000000.0000
24,47.7162,77.7162,53.6216,83.6216,0.0000,0.1882,1.0000,67.8638,129.0675,1000000.0000
25,46.6544,76.6544,52.2059,82.2059,0.0000,1.0000,4.8872,83.3358,87.3187,1000000.0000
26,25.0000,30.0000,30.0000,35.0000,0.0000,1.0000,3.9610,143.1626,184.6690,1000000.0000
27,47.9212,77.9212,53.8949,83.8949,0.0000,1.0000,4.7970,116.9376,139.0185,1000000.0000
28,21.0537,21.1209,26.0536,26.1208,0.0000,1.0000,3.7759,73.3192,163.9072,1000000.0000
29,21.0361,21.0814,30.0000,35.0000,0.0000,1.0000,3.4179,77.9953,109.3887,1000000.0000
30,21.0201,21.0454,26.0200,26.0453,0.0000,1.0000,2.3505,196.5447,199.9518,1000000.0000
31,25.0000,30.0000,30.0000,35.0000,0.0000,1.0000,1.9382,139.5982,177.2672,1000000.0000
32,25.0000,30.0000,30.0000,35.0000,0.0000,1.0000,4.2038,21.5483,169.2555,1000000.0000
33,45.6673,75.6673,50.8898,80.8898,0.0000,0.0449,1.0000,79.3609,174.9920,1000000.0000
34,21.0425,21.0957,26.0424,26.0956,0.0000,1.0000,2.4810,92.8511,131.5515,1000000.0000
35,61.5182,91.5182,72.0243,102.0243,0.0000,1.0000,3.3625,32.5791,176.3219,1000000.0000
36,21.0552,21.1242,26.0551,26.1241,0.0000,1.0000,2.7985,25.2527,71.3257,1000000.0000
37,54.2474,84.2474,62.3299,92.3299,0.0000,1.0000,4.2798,38.0776,100.9695,1000000.0000
38,25.0000,30.0000,30.0000,35.0000,0.0000,1.0000,4.5504,115.6842,187.1964,1000000.0000
39,21.6512,22.2920,26.6511,27.2919,0.0000,1.0000,1.7364,4.3818,163.6857,1000000.0000
40,51.4781,81.4781,58.6375,88.6375,0.0000,1.0000,4.5225,32.8608,82.5688,1000000.0000
41,51.6849,72.8002,58.9132,80.0284,0.0000,1.0000,4.5054,9.6338,77.9923,1000000.0000
42,59.1805,89.1805,68.9074,98.9074,0.0000,1.0000,1.2658,130.9858,133.0942,1000000.0000
43,49.0074,79.0074,55.3431,85.3431,0.0000,1.0000,4.7168,25.7012,41.3422,1000000.0000
44,21.0435,21.0980,26.0434,26.0979,0.0000,1.0000,2.3342,28.2698,90.6720,1000000.0000
45,21.0643,21.1448,26.0643,26.1447,0.0000,0.5168,1.0000,15.3056,61.0176,1000000.0000
46,43.3692,68.5357,49.1143,74.2807,0.0000,0.1538,1.0000,28.7904,148.2189,1000000.0000
47,21.3067,21.6781,26.3067,26.6780,0.0000,1.0000,3.2945,11.8026,28.1913,1000000.0000
48,54.1027,84.1027,62.1369,92.1369,0.0000,0.7067,1.0000,7.8409,101.5279,1000000.0000
49,21.1042,21.2342,26.1041,26.2341,0.0000,1.0000,1.5817,9.1907,37.2706,1000000.0000
50,21.1184,21.2660,26.1183,26.2659,0.0000,1.0000,3.7377,32.6592,140.6100,1000000.0000
